id,nama,rating,review,waktu
ChZDSUhNMG9nS0VJQ0FnSUNocUlTV1ZBEAE,Annisa Vira, 5 bintang ,baguss,37 menit lalu
ChdDSUhNMG9nS0VJQ0FnSUNoaUlLNnpBRRAB,Intan Devi Puspita, 5 bintang ,"Cocok banget buat tempat belajar, tempat baca.. btw ada pengantar buku gituu jadi tinggal pesen aja buku yang mau dibaca, nanti dianterin deh.. Makanannya juga enakk banget, tapi sayang harus nunggu antrian rame jugaa",10 jam lalu
ChZDSUhNMG9nS0VJQ0FnSUNoOEplckJ3EAE,Anisya Chairunisyah, 5 bintang ,👍👍👍👍👍👍👍👍 …,11 jam lalu
ChZDSUhNMG9nS0VJQ0FnSUNoc0l6TVlnEAE,Christofer Nathanael, 5 bintang ,,17 jam lalu
ChZDSUhNMG9nS0VJQ0FnSUNoMEtlUUtREAE,M. Azis Rizky Lubis, 5 bintang ,,19 jam lalu
ChZDSUhNMG9nS0VJQ0FnSUNoMEp2aVpBEAE,Putri Aliya Rahma, 5 bintang ,,19 jam lalu
ChZDSUhNMG9nS0VJQ0FnSUNoNElLQmVBEAE,dion tri agustin, 5 bintang ,,1 hari lalu
ChZDSUhNMG9nS0VJQ0FnSUNob1B6d0x3EAE,Dedy Kurniawan, 5 bintang ,,1 hari lalu
ChZDSUhNMG9nS0VJQ0FnSUNob0p6YUNREAE,Caesaria Fitriani, 5 bintang ,,1 hari lalu
ChZDSUhNMG9nS0VJQ0FnSUNod0tqdlZnEAE,Fahru Roziano, 5 bintang ,,1 hari lalu
ChdDSUhNMG9nS0VJQ0FnSUNoZ051X3B3RRAB,Laila Syakrama, 5 bintang ,,1 hari lalu
ChdDSUhNMG9nS0VJQ0FnSUNoZ0tidWp3RRAB,Shananazsm, 5 bintang ,,1 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCX19uSHZnRRAB,Shafrilia Ajeng, 5 bintang ,,2 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCM19DeVVREAE,Zaldy Ahmad Fahrizi, 5 bintang ,,2 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCNy1hMnJ3RRAB,Dtrans Tour Travel, 5 bintang ,"Good place for to learn heritage

(Diterjemahkan oleh Google)
Tempat yang bagus untuk belajar warisan",2 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCOS1yNDZ3RRAB,Asti Okta, 5 bintang ,,3 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCOThUdTd3RRAB,Sepyan Gunawan, 4 bintang ,,3 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCdDllcFVnEAE,Vindita Tamara, 5 bintang ,Tempat keren buat healing dan edukasi keluarga,3 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCdDdPNDd3RRAB,Ainin Abidah Rahman, 4 bintang ,"liftnya crowded parah kalo siang/sore lumayan lama nunggunya, koleksi bukunya cukup oke, harus pinter-pinter pilih waktu sm pilih lantai buat stay (buat yg gasuka terlalu rame)",3 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCdC1QRFBnEAE,Wina Kharina, 5 bintang ,"Wonderfull place for learn and know your country.

(Diterjemahkan oleh Google)
Tempat yang luar biasa untuk belajar dan mengenal negara Anda.",3 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCMThHY05nEAE,Sabrina aulia Putri Riyadi, 5 bintang ,,3 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCeDd2TExBEAE,Putri Qinanti, 5 bintang ,"Biasanya aku kesini kalo lagi bete dan galau aja , perpus ini bagus banget dan lengkap juga buku bukunya kalo menurut ku ya kadang ada juga sih buku yg lagi aku cari lagi gaada karna belum di balikin tapi ya its Ok lah masih bnyk buku yg lain kan yg belum di baca juga hihi
Dan abis baca buku kan biasanya laper tuh nah kalian tenang aja di lantai 4 ada kantinnya ko jadi bisa jajan juga disana hihi
Pokonya bintang 5 deh untuk perpus ini",4 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCLTlXZWxnRRAB,rizal kurnia, 5 bintang ,,5 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCMjRLRV93RRAB,Ratna Wati, 5 bintang ,,5 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCbTYzZEx3EAE,bilga muhammad pasha, 5 bintang ,,5 hari lalu
ChdDSUhNMG9nS0VJQ0FnSURCbTQyTXRnRRAB,Yunistya Dwi Cahyani, 4 bintang ,,5 hari lalu
ChZDSUhNMG9nS0VJQ0FnSURCbTdLaFFnEAE,Putu Eka Soraya Putri I8IO3476, 5 bintang ,,5 hari lalu
